=== harness select (repo /home/user/CreateChemE, 3dbd9b8 + uncommitted src changes)
DUTYSTEP 40 open=false phi=0.009419333599741701 q=[0.011198490529934818, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 60 open=false phi=0.009644152568215443 q=[0.011194388677340242, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 80 open=false phi=0.009868889330404161 q=[0.01119029151897846, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 100 open=false phi=0.008587530972043008 q=[0.01121315643205302, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 120 open=false phi=0.00881264409834236 q=[0.011209045687174565, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 140 open=false phi=0.009037674875966696 q=[0.01120494083058986, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 160 open=false phi=0.009262623408185032 q=[0.011200841367773533, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 180 open=false phi=0.009487489789569717 q=[0.01119674684693046, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 200 open=false phi=0.009712274106863358 q=[0.011192656854025526, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 220 open=false phi=0.009936976439489684 q=[0.01118857100937359, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 240 open=false phi=0.008655669667165604 q=[0.011211443890992613, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 260 open=false phi=0.008880748784186926 q=[0.011207345546579043, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP 280 open=false phi=0.009105745782669058 q=[0.01120325246681863, 0.0] modes=[PASSIVE, CLOSED]
DUTYSTEP_SUMMARY steps=300 dt=1 transitions=5 openSteps=9

Test run finished after 2133 ms
[         4 containers found      ]
[         0 containers skipped    ]
[         4 containers started    ]
[         0 containers aborted    ]
[         4 containers successful ]
[         0 containers failed     ]
[         2 tests found           ]
[         0 tests skipped         ]
[         2 tests started         ]
[         0 tests aborted         ]
[         2 tests successful      ]
[         0 tests failed          ]

