node,pressure_ref_Pa,pressure_rel,temperature_dK,mass_rel,hc_moles_rel,liquid_volume_rel,water_volume_rel,vapor_volume_rel,kappa_eos_per_Pa,pressure_term,anchor_term,first_order_liquid_rel,exact_formulation_rel,check_residual_of_deviation,water_kappa_per_Pa,water_first_order_rel
33,149521.306523,-2.6247e-07,-5.6731e-06,2.8595e-05,2.8595e-05,1.0254e-03,-9.2984e-04,-4.4723e-05,1.2434e-09,4.5046e-04,5.9248e-04,1.0716e-03,9.8903e-04,0.0450,4.5660e-10,-1.0055e-03
34,149732.531042,-1.1118e-07,-2.3080e-06,2.8556e-05,2.8556e-05,1.0252e-03,-9.3019e-04,-4.4890e-05,1.2434e-09,4.5044e-04,5.9231e-04,1.0713e-03,9.8884e-04,0.0450,4.5658e-10,-1.0055e-03
35,150149.136140,6.1441e-08,1.3036e-06,2.8400e-05,2.8400e-05,1.0250e-03,-9.3077e-04,-4.5188e-05,1.2436e-09,4.5069e-04,5.9202e-04,1.0711e-03,9.8882e-04,0.0450,4.5655e-10,-1.0053e-03
36,150450.145712,7.9578e-08,2.7711e-06,2.8105e-05,2.8105e-05,1.0245e-03,-9.3150e-04,-4.5402e-05,1.2437e-09,4.5078e-04,5.9180e-04,1.0707e-03,9.8871e-04,0.0451,4.5653e-10,-1.0052e-03
37,150474.232752,1.6035e-07,4.6524e-06,2.8140e-05,2.8140e-05,1.0244e-03,-9.3160e-04,-4.5438e-05,1.2436e-09,4.5062e-04,5.9175e-04,1.0705e-03,9.8851e-04,0.0451,4.5651e-10,-1.0052e-03
38,150413.197873,4.2085e-07,7.2299e-06,2.8642e-05,2.8642e-05,1.0251e-03,-9.3068e-04,-4.5398e-05,1.2437e-09,4.5079e-04,5.9183e-04,1.0713e-03,9.8874e-04,0.0450,4.5653e-10,-1.0052e-03
39,150066.241229,7.0673e-08,1.2034e-06,2.8492e-05,2.8492e-05,1.0251e-03,-9.3057e-04,-4.5132e-05,1.2436e-09,4.5064e-04,5.9207e-04,1.0712e-03,9.8882e-04,0.0450,4.5656e-10,-1.0053e-03
40,149671.964894,-1.6468e-07,-3.3149e-06,2.8545e-05,2.8545e-05,1.0252e-03,-9.3014e-04,-4.4843e-05,1.2434e-09,4.5042e-04,5.9235e-04,1.0713e-03,9.8887e-04,0.0450,4.5658e-10,-1.0055e-03
41,149515.711558,-2.8904e-07,-6.2388e-06,2.8577e-05,2.8577e-05,1.0255e-03,-9.2982e-04,-4.4715e-05,1.2435e-09,4.5050e-04,5.9249e-04,1.0716e-03,9.8908e-04,0.0450,4.5661e-10,-1.0055e-03
42,149522.523739,-2.5763e-07,-5.5781e-06,2.8599e-05,2.8599e-05,1.0254e-03,-9.2984e-04,-4.4725e-05,1.2434e-09,4.5046e-04,5.9248e-04,1.0716e-03,9.8902e-04,0.0450,4.5660e-10,-1.0055e-03
43,149740.699845,-1.0694e-07,-2.2162e-06,2.8553e-05,2.8553e-05,1.0252e-03,-9.3021e-04,-4.4896e-05,1.2434e-09,4.5044e-04,5.9230e-04,1.0713e-03,9.8884e-04,0.0450,4.5658e-10,-1.0055e-03
44,150158.962205,6.0709e-08,1.3231e-06,2.8389e-05,2.8389e-05,1.0250e-03,-9.3079e-04,-4.5195e-05,1.2436e-09,4.5070e-04,5.9201e-04,1.0711e-03,9.8882e-04,0.0450,4.5655e-10,-1.0053e-03
45,150453.418172,8.3477e-08,2.8546e-06,2.8106e-05,2.8106e-05,1.0245e-03,-9.3151e-04,-4.5405e-05,1.2437e-09,4.5078e-04,5.9179e-04,1.0707e-03,9.8870e-04,0.0451,4.5652e-10,-1.0052e-03
46,150475.922204,1.5392e-07,4.5501e-06,2.8130e-05,2.8130e-05,1.0244e-03,-9.3161e-04,-4.5438e-05,1.2436e-09,4.5063e-04,5.9175e-04,1.0705e-03,9.8851e-04,0.0451,4.5651e-10,-1.0052e-03
47,150406.769547,4.3151e-07,7.3522e-06,2.8664e-05,2.8664e-05,1.0252e-03,-9.3064e-04,-4.5394e-05,1.2437e-09,4.5079e-04,5.9183e-04,1.0713e-03,9.8874e-04,0.0450,4.5653e-10,-1.0052e-03
48,150055.584081,6.4099e-08,1.0852e-06,2.8493e-05,2.8493e-05,1.0251e-03,-9.3056e-04,-4.5124e-05,1.2436e-09,4.5063e-04,5.9208e-04,1.0712e-03,9.8882e-04,0.0450,4.5656e-10,-1.0053e-03
49,149664.990739,-1.8697e-07,-3.6568e-06,2.8520e-05,2.8520e-05,1.0252e-03,-9.3017e-04,-4.4837e-05,1.2434e-09,4.5042e-04,5.9236e-04,1.0713e-03,9.8887e-04,0.0450,4.5658e-10,-1.0055e-03
50,149515.566959,-2.7831e-07,-6.1117e-06,2.8594e-05,2.8594e-05,1.0255e-03,-9.2979e-04,-4.4715e-05,1.2435e-09,4.5051e-04,5.9249e-04,1.0716e-03,9.8908e-04,0.0450,4.5661e-10,-1.0055e-03
51,149523.861585,-2.5046e-07,-5.4502e-06,2.8606e-05,2.8606e-05,1.0254e-03,-9.2983e-04,-4.4727e-05,1.2434e-09,4.5045e-04,5.9248e-04,1.0716e-03,9.8901e-04,0.0450,4.5660e-10,-1.0055e-03
52,149748.999420,-1.0289e-07,-2.1270e-06,2.8550e-05,2.8550e-05,1.0252e-03,-9.3022e-04,-4.4902e-05,1.2435e-09,4.5045e-04,5.9229e-04,1.0713e-03,9.8884e-04,0.0450,4.5658e-10,-1.0055e-03
53,150168.656115,6.1721e-08,1.3668e-06,2.8381e-05,2.8381e-05,1.0250e-03,-9.3081e-04,-4.5201e-05,1.2436e-09,4.5070e-04,5.9200e-04,1.0711e-03,9.8882e-04,0.0450,4.5655e-10,-1.0053e-03
54,150456.564578,9.1876e-08,2.9994e-06,2.8113e-05,2.8113e-05,1.0245e-03,-9.3150e-04,-4.5409e-05,1.2437e-09,4.5078e-04,5.9179e-04,1.0707e-03,9.8869e-04,0.0451,4.5652e-10,-1.0052e-03
55,150477.582702,1.5178e-07,4.5056e-06,2.8127e-05,2.8127e-05,1.0244e-03,-9.3161e-04,-4.5439e-05,1.2436e-09,4.5063e-04,5.9175e-04,1.0705e-03,9.8852e-04,0.0451,4.5651e-10,-1.0052e-03
56,150400.137712,4.3255e-07,7.3426e-06,2.8672e-05,2.8672e-05,1.0252e-03,-9.3062e-04,-4.5389e-05,1.2437e-09,4.5078e-04,5.9184e-04,1.0713e-03,9.8875e-04,0.0450,4.5653e-10,-1.0052e-03
57,150044.913112,5.5462e-08,9.3849e-07,2.8490e-05,2.8490e-05,1.0251e-03,-9.3056e-04,-4.5116e-05,1.2436e-09,4.5062e-04,5.9209e-04,1.0712e-03,9.8882e-04,0.0450,4.5656e-10,-1.0053e-03
58,149658.076995,-2.1636e-07,-4.0968e-06,2.8486e-05,2.8486e-05,1.0251e-03,-9.3021e-04,-4.4830e-05,1.2434e-09,4.5042e-04,5.9236e-04,1.0713e-03,9.8888e-04,0.0450,4.5658e-10,-1.0055e-03
59,149515.601886,-2.6290e-07,-5.9194e-06,2.8618e-05,2.8618e-05,1.0255e-03,-9.2976e-04,-4.4715e-05,1.2435e-09,4.5051e-04,5.9249e-04,1.0717e-03,9.8909e-04,0.0450,4.5661e-10,-1.0055e-03
60,149525.331837,-2.3982e-07,-5.2735e-06,2.8618e-05,2.8618e-05,1.0254e-03,-9.2982e-04,-4.4729e-05,1.2434e-09,4.5045e-04,5.9247e-04,1.0716e-03,9.8901e-04,0.0450,4.5660e-10,-1.0055e-03
61,149757.426858,-9.8796e-08,-2.0375e-06,2.8547e-05,2.8547e-05,1.0252e-03,-9.3023e-04,-4.4909e-05,1.2435e-09,4.5045e-04,5.9229e-04,1.0713e-03,9.8883e-04,0.0450,4.5658e-10,-1.0055e-03
62,150178.213070,6.4308e-08,1.4324e-06,2.8375e-05,2.8375e-05,1.0250e-03,-9.3083e-04,-4.5208e-05,1.2436e-09,4.5071e-04,5.9200e-04,1.0711e-03,9.8882e-04,0.0450,4.5655e-10,-1.0053e-03
63,150459.565719,1.0384e-07,3.1928e-06,2.8126e-05,2.8126e-05,1.0245e-03,-9.3149e-04,-4.5412e-05,1.2437e-09,4.5077e-04,5.9179e-04,1.0707e-03,9.8869e-04,0.0451,4.5652e-10,-1.0052e-03
64,150479.163119,1.5379e-07,4.5173e-06,2.8130e-05,2.8130e-05,1.0244e-03,-9.3161e-04,-4.5439e-05,1.2437e-09,4.5064e-04,5.9175e-04,1.0705e-03,9.8852e-04,0.0451,4.5651e-10,-1.0052e-03
65,150393.364166,4.2506e-07,7.2156e-06,2.8668e-05,2.8668e-05,1.0252e-03,-9.3062e-04,-4.5384e-05,1.2437e-09,4.5078e-04,5.9184e-04,1.0713e-03,9.8875e-04,0.0450,4.5653e-10,-1.0052e-03
